Video ID,Frames,FPS
TPD5wO_LEPU_2_6,41.0,10
-7KMZQEsJW4_205_208,46.0,15
gHzws6FpuNE_10_12,51.0,25
d-2C_N5anww_1_3,52.0,29
SaOqf2d-y30_22_27,52.0,14
FXWdmIHXS_U_3_10,53.0,7
rOic25PnIx8_1_3,56.0,30
s6QwbmWbSmw_18_24,60.0,10
nTasT5h0LEg_12_14,60.0,29
992zi9V3oiQ_15_17,60.0,29
3OPQqH3YlHA_50_54,60.0,14
DuMkW35BwK8_43_47,60.0,14
fBA_lxUiwSg_2_4,60.0,29
_UqnTFs1BLc_23_27,60.0,14
VyBXcQ1v_cw_7_15,61.0,7
BgoOihBb78w_38_40,61.0,30
UnWgz-mVMXU_2_6,61.0,15
GEXqMH8I3_w_14_18,61.0,15
idXJu0BQRvo_2_6,61.0,15
qRoxNXm7INc_58_66,64.0,7
NjCqtzZ3OtU_303_307,67.0,29
GyIs9B3A1Z0_0_7,68.0,10
gp8XjWSoP2k_0_10,71.0,7
953PkxFNiko_82_85,72.0,23
xxHx6s_DbUo_162_165,72.0,23
xxHx6s_DbUo_98_101,72.0,23
xxHx6s_DbUo_158_161,72.0,23
xxHx6s_DbUo_41_44,72.0,23
Ne87egvJnWo_0_3,74.0,25
YZ0-6hdQ0mU_0_3,75.0,24
2Nn2CAeaI5k_72_77,75.0,14
eVSQiPbepXg_44_49,75.0,14
jMO3jGQeqyk_3_6,76.0,25
X98fLZHIzWQ_15_20,76.0,15
rw9h_574HxE_251_254,76.0,25
GEXqMH8I3_w_63_68,76.0,15
CwPfvoqmV1Q_58_61,76.0,25
Okg8QYhdtvU_48_53,76.0,15
FoL7aWvpvNs_199_204,76.0,15
2KrdBUFeFtY_22_27,76.0,15
lcu-DwrnYY8_2_5,76.0,25
93n_oYVCLpk_9_12,76.0,25
q3I3R_gqy8M_34_37,76.0,25
xlPyHMkpaQY_1_7,79.0,29
TPhpsIK7pDc_25_32,84.0,11
aRo8x3xXeEA_3_8,86.0,24
Li3umATsU0E_1_5,88.0,29
p7IAuvd87hQ_12_19,89.0,12
0lh_UWF9ZP4_157_160,90.0,29
cSDkshD2ME0_11_14,90.0,29
cSDkshD2ME0_12_15,90.0,29
2YhDTpzxd3c_98_101,90.0,29
0lh_UWF9ZP4_79_82,90.0,29
yg4aNiO1JnI_111_114,90.0,29
2YhDTpzxd3c_102_105,90.0,29
jZ8X8e7eRVk_24_27,90.0,29
GWQTAe64m-0_91_94,90.0,29
yREFkmrrYiw_51_57,90.0,14
16iNk1hLJt4_37_40,90.0,29
J---aiyznGQ_0_6,90.0,14
z0zb--BOhDY_16_22,90.0,14
PCXHuseKwDc_17_20,90.0,29
nTasT5h0LEg_40_43,90.0,29
88DOMJ11q2M_84_87,90.0,29
IWhrWLOAin0_1_4,90.0,29
IY1Fn796MoY_7_10,90.0,29
7OGizkf_JEo_191_194,90.0,29
3zgEl-OLFKE_12_15,90.0,29
w9mqbwOIkVg_6_12,90.0,14
lmCrIZeob4w_23_26,90.0,29
C_DDjCRxTxQ_1_4,90.0,29
Lw0eGsYxElA_11_14,90.0,29
W6_XuNhgtrM_2_5,90.0,29
5L5MoemWC6g_10_13,90.0,29
J7zb8YXrmIA_93_99,90.0,14
5K7Ru5s6YIw_8_11,90.0,29
5-8z5U-o4O4_0_3,90.0,29
zv2RIbUsnSw_159_162,90.0,29
qeKX-N1nKiM_74_77,90.0,29
Gn4Iv5ARIXc_37_40,90.0,29
9LSuyLyuUiM_3_6,90.0,29
Hd-NeIhbYGc_28_31,90.0,29
mOZkcBcWR8o_6_12,90.0,14
PeUHy0A1GF0_74_77,90.0,29
vuvpbeQak9Q_23_29,91.0,15
PAN5IVvMlVc_17_23,91.0,15
4wT7zM8XgXQ_5_11,91.0,15
k8l4ETsylVY_9_18,91.0,30
s7znbqra118_91_97,91.0,15
klteYv1Uv9A_27_33,91.0,15
nULE40HEWpA_5_11,91.0,15
kJY5BRCNAs4_3_6,91.0,30
PslVHtXc7Tg_8_14,91.0,15
e40bBP0_AbE_64_67,91.0,30
qvg9eM4Hmzk_4_10,91.0,15
dfOuTx66bJU_11_14,91.0,30
H7vezmDeZaw_2_7,93.0,20
xxHx6s_DbUo_36_40,96.0,23
xxHx6s_DbUo_173_177,96.0,23
xxHx6s_DbUo_182_186,96.0,23
glrijRGnmc0_211_215,96.0,23
mbesJaS6vwg_187_195,96.0,11
iuqVpMdb1NM_35_43,96.0,11
JhCvLmf9yr0_46_50,96.0,23
xxHx6s_DbUo_82_86,96.0,23
xxHx6s_DbUo_57_61,96.0,23
xxHx6s_DbUo_32_36,96.0,23
OIjsSu_I4So_6_10,96.0,23
Kqb-mmkEWqU_1_5,97.0,24
XtQdAPV2UZs_4_11,97.0,15
zkTn5Ef1Oig_71_75,98.0,24
pzq5fPfsPZg_29_33,100.0,24
Cjf21Y19aUQ_82_86,101.0,25
rw9h_574HxE_70_74,101.0,25
FavUpD_IjVY_22_26,101.0,25
ItFqogTmAvQ_48_52,101.0,25
k4hhWYtaQ14_0_10,101.0,10
Afmc6FeN-hM_20_24,101.0,25
IBgsLmDcL78_80_84,101.0,25
HJHPB_Y8GZE_259_263,101.0,25
3I9tSDU-OSk_17_22,101.0,20
77iDIp40m9E_119_123,101.0,25
IytNBm8WA1c_63_67,101.0,25
FH8vgAp4VDU_10_14,101.0,25
ggWzbEFC-RE_1_11,101.0,10
JIoiUNOXGaI_8_13,101.0,20
ItFqogTmAvQ_361_365,101.0,25
ao-9B8IV9_E_77_81,101.0,25
xEDCfcMZlZY_37_41,101.0,25
q3I3R_gqy8M_38_42,101.0,25
97JhYpoWxzY_0_4,101.0,25
53dc4z7HLyg_25_29,101.0,25
ao-9B8IV9_E_217_221,101.0,25
DBvSfds3FH4_76_80,101.0,25
FWzsXeXCwuc_106_110,101.0,25
DBvSfds3FH4_84_88,101.0,25
xb-Nacm-pKc_78_82,101.0,25
dq7agmFWkq0_5_9,101.0,25
UhI-p6AysWY_25_30,101.0,49
psXeA8sSYdI_25_30,101.0,20
yfMTsYcLt10_0_7,105.0,15
ywMLb2VfHbI_13_20,105.0,14
hW8TKz2Aea4_5_12,105.0,14
EPgQ9QwbsLE_16_23,106.0,15
yAD_TS5L2d4_4_11,106.0,15
zBrC1GmA0Qg_26_33,106.0,15
Ly5D0z9gKtc_15_20,106.0,29
nLz0QuerH1c_8_15,106.0,15
lFdg5CWMTt0_24_28,106.0,26
j2Dhf-xFUxU_13_20,106.0,15
Ya-MkA187c8_36_45,108.0,11
vub04F8CWng_32_41,108.0,11
80D0ylOqPJ8_0_5,108.0,25
5YJaS2Eswg0_22_26,113.0,30
gnEE6oWoz7U_124_132,113.0,14
MoqC84sXu88_47_59,117.0,10
OvRmRN1-O0Q_21_25,120.0,29
WTf5EgVY5uU_15_19,120.0,29
4z3b4mnw5y4_56_60,120.0,29
4yf2WP6K1gQ_28_32,120.0,29
KqKUXRHHkCc_101_105,120.0,29
WTf5EgVY5uU_54_58,120.0,29
JXSkYkiKO0I_42_46,120.0,29
xXlWsBhFvis_6_10,120.0,29
zSPBC8EO6dY_122_126,120.0,29
6ZhKOK08tgM_45_49,120.0,29
rQuNYxNmA6M_0_4,120.0,29
rVFJzN20jhQ_27_32,120.0,23
1Sp2__RCT0c_11_15,120.0,29
t3VPeyYL-fI_35_39,120.0,29
klFyrnrUSck_42_46,120.0,29
nLvX-erABqY_67_72,120.0,23
2YhDTpzxd3c_166_170,120.0,29
IhzXQ-gc9IQ_125_129,120.0,29
WTf5EgVY5uU_94_98,120.0,29
PmrTDZy3f2M_35_39,120.0,29
0lh_UWF9ZP4_174_178,120.0,29
JXSkYkiKO0I_112_116,120.0,29
0lh_UWF9ZP4_27_31,120.0,29
IhwPQL9dFYc_171_175,120.0,29
0lh_UWF9ZP4_178_182,120.0,29
b4mJ3AQc-ag_30_34,120.0,29
5zkCnHUnoYY_69_74,120.0,23
MMnnqzOoMF0_68_72,120.0,29
MSrJTeKNzdI_32_36,120.0,29
-wa0umYJVGg_286_290,120.0,29
6Q3ltyPJJMQ_67_72,120.0,23
gqSOvUH_njE_151_155,120.0,29
UoPU8F9mus8_258_262,120.0,29
xCFCXzDUGjY_5_9,120.0,29
IhwPQL9dFYc_143_147,120.0,29
9LOJmQQktHA_10_18,120.0,14
qeKX-N1nKiM_68_72,120.0,29
WTf5EgVY5uU_100_104,120.0,29
WTf5EgVY5uU_104_108,120.0,29
WTf5EgVY5uU_124_128,120.0,29
WPG-BIWOrG4_130_134,120.0,29
9HTUcMjWB3g_134_138,120.0,29
nlU3crMsbWI_19_23,120.0,29
UbmZAe5u5FI_111_115,120.0,29
UbmZAe5u5FI_36_40,120.0,29
PeUHy0A1GF0_51_55,120.0,29
DhwrBs96Kgk_120_124,120.0,29
UXs3eq68ZjE_246_250,120.0,29
0hyZ__3YhZc_279_283,120.0,29
PeUHy0A1GF0_28_32,120.0,29
PHDmVhShE80_82_86,120.0,29
PHDmVhShE80_78_82,120.0,29
32_A0-er4Ws_16_20,120.0,29
UJKythlXAIY_17_21,120.0,29
EdrZtaBUXIo_25_29,120.0,29
tn-Hoz4KbkE_89_93,120.0,29
lvFYUmDSOvU_34_38,120.0,29
2HpZvL-_fiY_40_44,120.0,29
O_NWtDShLeg_21_25,120.0,29
0hyZ__3YhZc_380_384,120.0,29
0hyZ__3YhZc_352_356,120.0,29
2YhDTpzxd3c_45_49,120.0,29
7s0AXJtLL0Y_57_61,120.0,29
puineN1UMto_25_29,120.0,29
-_aaMGK6GGw_57_61,120.0,29
PeUHy0A1GF0_62_66,120.0,29
6t0BpjwYKco_80_84,120.0,29
-AwoiGR6c8M_10_14,120.0,29
-rkErLY0rRc_63_67,120.0,29
xxHx6s_DbUo_202_207,120.0,23
Qp-k0H93iJE_35_39,120.0,29
tYh4iDFgmEE_10_14,120.0,29
9BScZRpF7SI_31_36,120.0,23
PeUHy0A1GF0_99_103,120.0,29
ulPvRmNfXK4_96_100,120.0,29
ArEWo8pERFc_17_21,120.0,29
tYh4iDFgmEE_50_54,120.0,29
R8FDJgVW3Vc_0_4,120.0,29
me1D1WZ0yNM_120_124,120.0,29
6t0BpjwYKco_254_258,120.0,29
6t0BpjwYKco_179_183,120.0,29
n_Z0-giaspE_379_387,121.0,15
nPj6EcVGoUY_7_15,121.0,15
fcvW1vr8hAs_104_108,121.0,30
lexLAjh8fPA_27_31,121.0,30
n_Z0-giaspE_270_278,121.0,15
BVjvRpmHg0w_47_51,121.0,30
swKrHEeOj9c_4_8,121.0,30
6gQu8PWhFoQ_37_41,121.0,30
R24RktgUi-s_24_28,121.0,30
oG6LLGi_n48_51_55,121.0,30
MrMG15y3rWU_5_13,121.0,15
pRpeEdMmmQ0_65_70,121.0,24
JIoiUNOXGaI_98_104,121.0,20
0k1Ak8aTMVI_4_12,121.0,15
ZL7P_XmSnEY_205_209,121.0,30
1mIyMRPV8kg_9_17,121.0,15
qvg9eM4Hmzk_1_9,121.0,15
bruzcOyIGeg_4_12,121.0,15
yNy9jTeolUk_8_12,121.0,30
WqwcWk1In_g_46_54,121.0,15
0vmoZEaN_-o_4_12,121.0,15
4ge5_V-xhP0_138_142,121.0,30
ptHkvYrH9fY_2_10,121.0,15
LEz0puaKNTk_38_48,121.0,12
zkTn5Ef1Oig_70_75,122.0,24
504gE1DA_4g_1_6,122.0,30
hXn7D6-AAMA_0_9,122.0,15
02Z-kuB3IaM_2_13,123.0,12
o4OsYxsNGMI_77_82,126.0,25
a1Y73sPHKxw_0_5,126.0,25
MHIVmf42Ao4_31_36,126.0,25
AjZ-R3LFMzo_18_23,126.0,25
LQ-jv8g1YVI_1_6,126.0,25
ItFqogTmAvQ_281_286,126.0,25
I9gLTZY1ouc_142_147,126.0,25
ejgwQqCHN1E_7_12,126.0,25
zr9OeyfLPPY_4_9,126.0,25
77iDIp40m9E_126_131,126.0,25
30GeJHYoerk_80_85,126.0,25
hNOzHvsEmg4_31_36,126.0,25
30GeJHYoerk_121_126,126.0,25
lB1UPJ4leqs_1_6,126.0,25
9Bxknsvy3jQ_53_58,126.0,25
ngHDYzhDBk4_24_29,126.0,25
rw9h_574HxE_13_18,126.0,25
Z19zFlPah-o_6_11,126.0,25
1kYWws89W3Y_0_5,126.0,25
urXDqw3S34I_12_17,126.0,25
ETUJipdnfOM_0_5,126.0,25
SzEbtbNSg04_88_93,126.0,25
iwpnUHFhjWc_9_14,126.0,25
W20Btaww6zc_134_139,126.0,25
_QJbjKkfdcs_52_57,126.0,25
FWzsXeXCwuc_111_116,126.0,25
rw9h_574HxE_161_166,126.0,25
nTUONeDqhdk_10_15,126.0,25
AjZ-R3LFMzo_5_10,126.0,25
BefkDBj5gSw_104_109,126.0,25
BtQEY2SL4g4_11_16,126.0,25
krAk8WPZRL4_207_212,126.0,25
D9I1Z6O_mbw_141_146,126.0,25
s0hwEUC5emA_127_132,126.0,25
ao-9B8IV9_E_72_77,126.0,25
omGWjiwxcTE_18_23,126.0,25
pptYu3YQnxY_160_170,126.0,12
kZfBt5me3Pg_2_7,126.0,25
Mutb8BHFvzk_15_20,126.0,25
BLXzfdNmydQ_151_156,126.0,25
s_ldnx8_etY_32_54,133.0,6
TZ860P4iTaM_11_20,135.0,14
71soiLO6I9U_15_24,135.0,14
j2Dhf-xFUxU_20_29,136.0,15
g9aZcaEg7iY_0_9,136.0,15
Wnz3IevSNg0_1_8,136.0,25
GPT4vUwlrXY_1_10,136.0,15
1TjqADyYyxI_36_45,136.0,15
yC4eEuURH8c_19_28,136.0,15
MTjrZthHwJQ_2_11,136.0,15
05Gtb7_9tLU_0_9,136.0,15
RMznbCn5sQs_0_10,140.0,13
JIoiUNOXGaI_34_41,141.0,20
TvBsaMgqh5s_61_68,141.0,20
wpUT0DNB3qs_9_19,141.0,14
Q6HuQEIJqcA_9_16,141.0,20
CL49s8bO6Fg_1_11,143.0,15
lGk1MA6YP-M_36_48,144.0,11
6JnGBs88sL0_4_10,144.0,23
ZvJvNcukZ4w_0_10,144.0,15
8CzlhZtunNc_5_11,144.0,23
E6sqA9QtV5I_195_201,144.0,23
bK-i_FAcpoY_86_92,144.0,23
kKGehSw5ht8_39_45,144.0,23
Tm1HjqK0ABg_9_15,144.0,23
xxHx6s_DbUo_216_222,144.0,23
NNYLo1OeZ-Q_48_54,144.0,23
gtixLEvO2Us_0_6,145.0,24
aJoDt4DMkFU_118_124,145.0,24
XzCcRzEa83U_39_46,146.0,25
6RlYLTU5gvM_18_24,149.0,49
hcCLIzzB1jQ_1_7,149.0,25
9Wr48VFhZH8_45_50,150.0,29
Je3V7U5Ctj4_760_765,150.0,29
PeUHy0A1GF0_68_73,150.0,29
Je3V7U5Ctj4_582_587,150.0,29
qew09qQgMAg_22_27,150.0,29
Je3V7U5Ctj4_558_563,150.0,29
PqvKNqkGI9o_47_52,150.0,29
u9prcUCHlqM_235_241,150.0,24
Je3V7U5Ctj4_634_639,150.0,29
uGDuIyfJXXg_23_33,150.0,14
Lt1JijkvSKk_0_10,150.0,14
nZSFn51l3hc_480_485,150.0,29
G_hxdUG6QXE_23_28,150.0,29
IiIiY6o-C9k_59_64,150.0,29
H1Bok7Dg7g8_21_26,150.0,29
tJHUH9tpqPg_113_118,150.0,29
IhwPQL9dFYc_124_129,150.0,29
DKZg4kIEa0A_31_36,150.0,29
NjCqtzZ3OtU_62_67,150.0,29
pqTWUzehCUM_42_47,150.0,29
KPPCwmU5OHQ_467_472,150.0,29
qIk_Dz5XE5E_104_109,150.0,29
KrBeBabazDU_15_20,150.0,29
Kxa0mnDj0bs_15_20,150.0,29
qhknaG9ifbs_122_127,150.0,29
Goj131_GxYs_2_7,150.0,29
o_mWZWcm2r4_10_15,150.0,29
PeUHy0A1GF0_122_127,150.0,29
qBFSt85-xqk_15_20,150.0,29
pzq5fPfsPZg_51_57,150.0,24
Je3V7U5Ctj4_768_773,150.0,29
Je3V7U5Ctj4_956_961,150.0,29
PD6eQY7yCfw_32_37,150.0,29
ACOmKiJDkA4_49_54,150.0,29
r4qv_BNlQNk_93_98,150.0,29
PAm82v0AMFc_5_10,150.0,29
r4qv_BNlQNk_119_124,150.0,29
ID2xXlUENG0_19_24,150.0,29
HM-ZDoRWiH4_0_5,150.0,29
nd0ToNwccl4_12_17,150.0,29
EBWPZIjtnTM_1_6,150.0,29
JledeVyklPw_1_6,150.0,29
Aa7yf9XtcJM_45_50,150.0,29
G6w6kO8UPyg_31_41,150.0,14
EVqc7e8JCco_5_15,150.0,14
JktNQQnLblQ_4_9,150.0,29
UXs3eq68ZjE_280_285,150.0,29
9LHg5RUGukI_63_68,150.0,29
jv-eV6jR3Qw_7_12,150.0,29
3FnUTQMJVXI_31_36,150.0,29
jmoT2we_rqo_0_5,150.0,29
jdAbpLooDgM_10_15,150.0,29
Z10_CDPQKKs_1_6,150.0,29
2YhDTpzxd3c_240_245,150.0,29
k-SWy-sU8cE_5_10,150.0,29
2YhDTpzxd3c_22_27,150.0,29
2YhDTpzxd3c_115_120,150.0,29
_6OTzzK7t9Y_73_78,150.0,29
y8SDRc4IOjs_94_99,150.0,29
1qU-kF-km1Q_6_16,150.0,14
_WRC7HXBJpU_386_391,150.0,29
aGUx0QOKWXw_7_12,150.0,29
2YhDTpzxd3c_149_154,150.0,29
1RchFBCT9JU_43_53,150.0,14
YRSOc193Pxc_68_73,150.0,29
4_WZN7uW0NY_140_145,150.0,29
VF1K_6ZSOAY_23_28,150.0,29
VahnQw2gTQY_288_293,150.0,29
VahnQw2gTQY_315_320,150.0,29
VahnQw2gTQY_322_327,150.0,29
5fDBl1wT2Lk_34_39,150.0,29
5QJf-l4lPJw_133_138,150.0,29
Wv3u2q3oGeU_35_45,150.0,14
WPG-BIWOrG4_608_613,150.0,29
WPG-BIWOrG4_672_677,150.0,29
WTf5EgVY5uU_130_135,150.0,29
WTf5EgVY5uU_18_23,150.0,29
Pr5LQq42l4M_12_17,150.0,29
kquB3rIgfGk_640_645,150.0,29
kquB3rIgfGk_197_202,150.0,29
WPG-BIWOrG4_635_640,150.0,29
yYA7YXIKbg4_9_14,150.0,29
0lh_UWF9ZP4_82_87,150.0,29
0lh_UWF9ZP4_21_26,150.0,29
hJFBXHtxKIc_118_123,150.0,29
cs33MNhpRNw_16_21,150.0,29
-wa0umYJVGg_271_276,150.0,29
dtn0PuxgfkM_0_5,150.0,29
-mAoVOhKy0c_4_9,150.0,29
ge7OOILJA6U_20_25,150.0,29
hJFBXHtxKIc_163_168,150.0,29
-bjOB4zS0uE_100_105,150.0,29
eVSQiPbepXg_83_93,150.0,14
zhLcONtNkew_16_21,150.0,29
fr9H1WLcF1A_256_261,150.0,29
fF89MasBFLw_321_326,150.0,29
-9CUm-2cui8_39_44,150.0,29
fMXfphSi6Yw_7_12,150.0,29
gHyXstpe_N8_95_100,150.0,29
cUW_bXll6YM_390_395,150.0,29
hJFBXHtxKIc_204_209,150.0,29
hJFBXHtxKIc_225_230,150.0,29
hbE29pZh76I_3_8,150.0,29
0lh_UWF9ZP4_165_170,150.0,29
hW8TKz2Aea4_40_50,150.0,14
0hyZ__3YhZc_632_637,150.0,29
0hyZ__3YhZc_598_603,150.0,29
0hyZ__3YhZc_575_580,150.0,29
hNECyt6Bo0A_5_10,150.0,29
0hyZ__3YhZc_485_490,150.0,29
c2MwqFYVE7A_40_45,150.0,29
hJFBXHtxKIc_317_322,150.0,29
hJFBXHtxKIc_310_315,150.0,29
hJFBXHtxKIc_298_303,150.0,29
cCmnN96zIeQ_14_24,150.0,14
0hyZ__3YhZc_302_307,150.0,29
hJFBXHtxKIc_286_291,150.0,29
lSnWhsmlGec_5_10,150.0,29
lb8J2zCQTlo_3_8,150.0,29
qeKX-N1nKiM_0_5,150.0,29
8MVo7fje_oE_139_144,150.0,29
8MVo7fje_oE_166_171,150.0,29
6owu8Mow0_g_384_389,150.0,29
lfGlDg47How_93_98,150.0,29
6owu8Mow0_g_692_697,150.0,29
8MVo7fje_oE_153_158,150.0,29
8MVo7fje_oE_125_130,150.0,29
6owu8Mow0_g_850_855,150.0,29
8MVo7fje_oE_113_118,150.0,29
8MVo7fje_oE_108_113,150.0,29
6t0BpjwYKco_105_110,150.0,29
8MVo7fje_oE_180_185,150.0,29
UXs3eq68ZjE_508_513,150.0,29
lsanQj2yacs_80_85,150.0,29
6t0BpjwYKco_200_205,150.0,29
UXs3eq68ZjE_209_214,150.0,29
UXs3eq68ZjE_382_387,150.0,29
UXs3eq68ZjE_320_325,150.0,29
UXs3eq68ZjE_313_318,150.0,29
UXs3eq68ZjE_235_240,150.0,29
UXs3eq68ZjE_250_255,150.0,29
Hd-NeIhbYGc_43_48,150.0,29
6t0BpjwYKco_71_76,150.0,29
UXs3eq68ZjE_49_54,150.0,29
8MVo7fje_oE_85_90,150.0,29
UXs3eq68ZjE_255_260,150.0,29
6owu8Mow0_g_275_280,150.0,29
Qtu-PXuvCx4_12_17,150.0,29
Qwn0Ni9G5ow_64_69,150.0,29
R2DvpPTfl-E_20_25,150.0,29
RQYLGNbal2c_5_10,150.0,29
98Alrg4pFXs_148_153,150.0,29
QT8iCDc7NGU_18_23,150.0,29
lfGlDg47How_110_115,150.0,29
9LHg5RUGukI_58_63,150.0,29
8PQiaurIiDM_94_99,150.0,29
6owu8Mow0_g_302_307,150.0,29
